Titulo,Empresa,Localizacion,Salario,Fecha_Publicacion,Valoracion_Empresa,Descripcion_Completa,Busqueda_Ciudad,Busqueda_Puesto
Oficiales y peones de la industria de la madera-montaje de muebles,Domestiko,España,No especificado,+ 30 d,"4,0","Se buscan montadores/as de muebles, tanto oficiales como peones, para trabajar en Teruel. Si tienes experiencia trabajando con madera, carpintería o en el montaje de muebles, te animamos a considerar la opción de oficial. Para el puesto de peón, no se necesita experiencia previa, así que es una buena oportunidad para iniciarse en el sector.

Es indispensable que dispongas del carnet de conducir tipo B para poder desempeñar las funciones del puesto.

La oferta contempla un contrato indefinido con jornada completa. El salario se negociará de manera individual, adaptándose a la experiencia y cualificación de cada candidato.",Teruel,Todos
Camareros de piso,Domestiko,España,No especificado,30 días,"4,0","Se buscan camareras de piso para trabajar en Teruel.

Es necesario contar con formación básica, como la EGB o la ESO. Se valorará tener experiencia previa en el sector de la hostelería, realizando tareas de limpieza y mantenimiento de habitaciones.

El puesto implica un contrato temporal con una jornada laboral completa, garantizando así una dedicación de tiempo completo a las responsabilidades del puesto.",Teruel,Todos
Auxiliar administrativo para residencia de personas mayores,Domestiko,España,1 mil € (Proporcionado por la empresa),+ 30 d,"4,0","Se busca auxiliar administrativo para una residencia de personas mayores ubicada en Ariño. Es fundamental contar con formación de Grado Medio o Superior relacionada con las tareas administrativas. También se requieren conocimientos sólidos de informática, incluyendo el manejo del paquete Office, sistemas operativos e internet. La residencia en Ariño es un requisito indispensable para este puesto.

Las responsabilidades principales incluirán la atención al público, tanto por teléfono como en persona, así como la gestión de documentos y archivos, y la actualización de bases de datos. También se brindará apoyo en tareas de contabilidad básica y en la coordinación de agendas. Este puesto implica dar soporte a la dirección y a los servicios sociales, ejecutando actividades administrativas que aseguren el buen funcionamiento diario y la gestión eficiente de los recursos humanos y materiales.

Se ofrecerá un contrato temporal a jornada completa, con un horario de 08:00 a 13:00 y de 15:00 a 18:00. El salario ofrecido es de 1.184 € mensuales.",Teruel,Todos
Vendedores técnicos.,Domestiko,España,No especificado,24 días,"4,0","Se buscan vendedores técnicos para el sector energético en Teruel.

Los requisitos para este puesto incluyen una formación mínima de Bachillerato y la posesión de un carnet de conducir.

Se ofrece un contrato indefinido a jornada completa, con vehículo de empresa, equipos informáticos y teléfono móvil incluidos. La incorporación es inmediata.",Teruel,Todos
Administrador/a de fincas,Domestiko,España,No especificado,+ 30 d,"4,0","Se requiere un profesional con experiencia en administración de fincas para cubrir un puesto en Teruel. La experiencia previa en funciones similares o contar con un título oficial de administración de fincas es fundamental para esta posición.

Las condiciones de trabajo incluyen un contrato indefinido, con una jornada laboral completa. El salario se discutirá y acordará directamente con el candidato seleccionado.",Teruel,Todos
Gestores administrativo titulados,Domestiko,España,No especificado,+ 30 d,"4,0","Se buscan profesionales con titulación en Trabajo Social y/o Educación Social para desempeñar funciones de gestión administrativa en Teruel. Es indispensable contar con carnet de conducir y vehículo propio.

Las responsabilidades principales incluirán la coordinación de colaboraciones con diversas organizaciones, tanto internas como externas, así como la supervisión de la calidad y eficiencia en la actividad productiva. Se requerirá la gestión de equipos, asegurando una comunicación fluida y fomentando el desarrollo profesional.

Además, se llevarán a cabo tareas específicas relacionadas con la inserción sociolaboral, abarcando el seguimiento de planes de desarrollo individualizados, la administración del personal y el cumplimiento de la normativa vigente. Se ofrece un contrato de carácter indefinido y jornada completa.",Teruel,Todos
Tecnico/a informatico y atención al cliente,Domestiko,España,No especificado,19 días,"4,0","Buscamos un técnico informático con experiencia en atención al cliente para un puesto en ALCAÑIZ (TERUEL). Las tareas principales incluirán la instalación y configuración de equipos informáticos, así como redes, sistemas ERP y software diverso.

También te encargarás de la atención al cliente a través de varios canales: telefónico, presencial, remoto y en el domicilio del cliente. Darás seguimiento a las soluciones de ciberseguridad, realizarás reparaciones de equipos y sustitución de componentes, y podrás modificar aplicaciones ya existentes.

Se ofrece un contrato indefinido a jornada completa, con horario partido de 9:00 a 13:30 y de 16:30 a 20:00. Es necesario contar con un ciclo formativo de grado medio o superior en informática, un año de experiencia en un puesto similar, conocimientos de programación en Visual Basic y Java, y carnet de conducir.",Teruel,Todos
Repartidor / ayudante panadería,Domestiko,España,No especificado,+ 30 d,"4,0","Se necesita repartidor con carnet de conducir B para ayudar en una panadería. La labor principal será la distribución de pan fresco a domicilio y, además, se requerirá colaboración en diversas tareas del obrador según sea necesario.

Se ofrece un contrato de trabajo indefinido con una jornada parcial de 30 horas semanales. El horario será de lunes a sábado, cubriendo las mañanas desde las 7:00 hasta las 12:00.

Esta oportunidad es ideal para personas proactivas con ganas de integrarse en un equipo de trabajo dinámico y colaborar en el día a día de un negocio de panadería.",Teruel,Todos
Peón agrícola,Domestiko,España,No especificado,+ 30 d,"4,0","Se busca peón agrícola para trabajar en una finca agraria, realizando tareas de apoyo en el cultivo de arbolado.

Las funciones principales incluyen la poda de melocotoneros, olivos y almendros. También se llevarán a cabo labores de aclareo de flor y fruto, así como el embolsado y la recolección de la cosecha.

Se ofrece un contrato indefinido con jornada completa. El horario de trabajo será de 08:00 a 13:00 y de 15:00 a 18:00. El salario se ajustará a lo estipulado en el convenio colectivo del sector.",Teruel,Todos
Marketing digital,Domestiko,España,No especificado,+ 30 d,"4,0","Oportunidad laboral en marketing digital, enfocada en impulsar la presencia online de una marca de muebles.

Se busca una persona para desarrollar y llevar a cabo estrategias de marketing digital, tanto para la tienda online como para la marca en sí. Las responsabilidades incluirán la creación y coordinación de campañas creativas en plataformas como redes sociales, la web y publicidad pagada. También se participará activamente en la concepción de ideas, lanzamientos de productos y en la narrativa visual de la marca. El rol implica analizar los resultados obtenidos y optimizar las campañas con un enfoque creativo y orientado al crecimiento, además de colaborar estrechamente con los equipos de diseño y contenido para construir una marca con personalidad y aspiracional.

Se ofrece un contrato indefinido a jornada completa, buscando a alguien con formación profesional de Grado Medio o Superior, o un título universitario en Marketing, y experiencia previa demostrable en el campo del marketing digital.",Teruel,Todos
